Latitude,Longitude,Date,Maximum Temperature,Minimum Temperature,Temperature,Dew Point,Wind Chill,Heat Index,Precipitation,Precipitation Cover,Snow,Snow Depth,Wind Speed,Wind Gust,Wind Direction,Visibility,Cloud Cover,Relative Humidity,Sea Level Pressure,Solar Radiation,Solar Energy,Weather Type,Info,Conditions
32.575556,-117.026667,2019-08-01,75.0,62.5,67.6,62.5,,,0.0,0.0,0.0,0.0,11.7,18.3,257.92,8.5,47.1,84.39,1014.9,489.7,26.4,Mist,,Partially cloudy
36.008889,-121.466944,2019-07-30,66.4,57.8,61.3,52.9,,,0.0,0.0,0.0,0.0,14.4,23.0,279.63,9.8,77.4,74.53,1016.1,548.0,31.6,,,Overcast
34.665699,-119.94974,2019-07-28,91.1,52.1,67.5,52.2,,87.3,0.0,0.0,0.0,0.0,12.8,21.9,169.58,8.1,20.6,66.75,1014.3,478.9,27.6,"Mist, Fog, Light Rain",,Clear
41.79591,-121.260305,2019-07-28,91.9,47.8,70.9,43.1,,87.7,0.0,0.0,0.0,0.0,19.1,23.0,137.3,8.7,3.1,43.22,1018.9,433.5,26.5,"Mist, Smoke Or Haze",,Clear
41.909,-120.306,2019-07-17,82.0,48.3,67.1,44.6,,80.1,0.0,0.0,0.0,0.0,12.9,20.8,192.75,9.9,1.8,48.94,1016.4,487.0,42.1,,,Clear
40.072739,-120.158273,2019-07-14,88.5,53.3,73.5,32.1,,84.6,0.0,0.0,0.0,0.0,19.9,30.0,251.83,9.9,2.8,24.87,1019.5,495.8,32.1,,,Clear
39.631945,-119.769881,2019-07-13,90.5,56.1,75.1,34.5,,86.3,0.0,0.0,0.0,0.0,15.6,27.3,246.21,9.9,3.0,27.15,1017.0,502.6,29.0,Mist,,Clear
33.703546,-117.033598,2019-09-30,74.0,48.4,59.9,47.5,,,0.0,0.0,0.0,0.0,13.1,19.4,123.29,9.7,8.8,68.12,1011.1,380.3,20.5,Mist,,Clear
38.538467,-120.965105,2019-09-29,67.5,43.5,55.5,41.6,40.5,,0.04,12.5,0.0,0.0,17.1,26.4,154.83,9.9,11.5,63.72,1011.6,359.1,18.1,,,Rain
36.154184,-120.634179,2019-09-30,72.0,41.6,57.1,37.8,38.3,,0.0,0.0,0.0,0.0,15.9,35.6,266.54,9.9,10.6,53.56,1013.8,242.2,13.1,Smoke Or Haze,,Clear
32.787656,-116.806941,2019-09-24,86.0,55.5,69.8,55.4,,84.9,0.0,0.0,0.0,0.0,12.4,19.7,208.46,9.7,3.0,63.87,1011.4,422.7,19.8,,,Clear
39.622137,-121.693472,2019-09-28,71.7,55.3,62.0,45.7,,,0.0,0.0,0.0,0.0,14.4,27.7,208.83,11.1,45.6,58.9,1006.7,404.2,34.9,"Lightning Without Thunder, Mist, Light Rain",,Partially cloudy
41.749667,-123.000833,2019-09-15,81.1,51.6,64.9,42.5,,79.2,0.11,29.17,0.0,0.0,15.4,30.6,154.21,9.6,20.1,49.3,1010.1,356.9,19.3,"Mist, Rain, Heavy Rain, Light Rain",,Rain
40.715556,-122.241944,2019-08-22,98.1,74.9,85.4,50.7,,93.5,0.0,0.0,0.0,0.0,13.7,27.0,336.71,9.8,1.8,33.3,1008.0,382.5,22.0,,,Clear
37.536069,-120.177018,2019-08-16,98.1,66.9,82.1,53.9,,94.5,0.0,0.0,0.0,0.0,8.7,,234.5,9.9,0.0,42.3,1008.5,452.3,26.1,,,Clear
40.900458,-121.320838,2019-08-07,,,,,,,0.0,,,,,,,,,,,,,,No data available,
34.202883,-116.4449,2019-08-03,101.2,73.2,90.2,38.6,,96.0,0.0,0.0,0.0,0.0,15.9,27.7,249.38,9.9,17.7,17.46,1013.1,517.4,27.9,,,Clear
39.831762,-123.846013,2019-07-27,,,,,,,0.0,,,,,,,,,,,,,,No data available,
